ID,DATE,CURRENCY,PX_LAST
GTIDR8Y Govt,2021-06-01,,6.305
GTIDR8Y Govt,2021-06-02,,6.286915
GTIDR8Y Govt,2021-06-03,,6.249842
GTIDR8Y Govt,2021-06-04,,6.246057
GTIDR8Y Govt,2021-06-05,,6.246057
GTIDR8Y Govt,2021-06-06,,6.246057
GTIDR8Y Govt,2021-06-07,,6.233992
GTIDR8Y Govt,2021-06-08,,6.22188
GTIDR8Y Govt,2021-06-09,,6.215414
GTIDR8Y Govt,2021-06-10,,6.184799
GTIDR8Y Govt,2021-06-11,,6.163301
GTIDR8Y Govt,2021-06-12,,6.163301
GTIDR8Y Govt,2021-06-13,,6.163301
GTIDR8Y Govt,2021-06-14,,6.180954
GTIDR8Y Govt,2021-06-15,,6.212376
GTIDR8Y Govt,2021-06-16,,6.197203
GTIDR8Y Govt,2021-06-17,,6.266569
GTIDR8Y Govt,2021-06-18,,6.324228
GTIDR8Y Govt,2021-06-19,,6.324228
GTIDR8Y Govt,2021-06-20,,6.324228
GTIDR8Y Govt,2021-06-21,,6.432209
GTIDR8Y Govt,2021-06-22,,6.465941
GTIDR8Y Govt,2021-06-23,,6.466582
GTIDR8Y Govt,2021-06-24,,6.350765
GTIDR8Y Govt,2021-06-25,,6.330744
GTIDR8Y Govt,2021-06-26,,6.330744
GTIDR8Y Govt,2021-06-27,,6.330744
GTIDR8Y Govt,2021-06-28,,6.302831
GTIDR8Y Govt,2021-06-29,,6.3613
GTIDR8Y Govt,2021-06-30,,6.357236
GTIDR8Y Govt,2021-07-01,,6.355834
GTIDR8Y Govt,2021-07-02,,6.361157
GTIDR8Y Govt,2021-07-03,,6.361157
GTIDR8Y Govt,2021-07-04,,6.361157
GTIDR8Y Govt,2021-07-05,,6.352791
GTIDR8Y Govt,2021-07-06,,6.342618
GTIDR8Y Govt,2021-07-07,,6.323052
GTIDR8Y Govt,2021-07-08,,6.314891
GTIDR8Y Govt,2021-07-09,,6.338833
GTIDR8Y Govt,2021-07-10,,6.338833
GTIDR8Y Govt,2021-07-11,,6.338833
GTIDR8Y Govt,2021-07-12,,6.319778
GTIDR8Y Govt,2021-07-13,,6.301732
GTIDR8Y Govt,2021-07-14,,6.231018
GTIDR8Y Govt,2021-07-15,,6.182343
GTIDR8Y Govt,2021-07-16,,6.180727
GTIDR8Y Govt,2021-07-17,,6.180727
GTIDR8Y Govt,2021-07-18,,6.180727
GTIDR8Y Govt,2021-07-19,,6.159634
GTIDR8Y Govt,2021-07-20,,6.159634
GTIDR8Y Govt,2021-07-21,,6.175236
GTIDR8Y Govt,2021-07-22,,6.171043
GTIDR8Y Govt,2021-07-23,,6.160354
GTIDR8Y Govt,2021-07-24,,6.160354
